Tick,Step,DateTime,GrassRegrowthPerStep,ID
0,0,2022-02-23T14:49:00.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
1,1,2022-02-23T14:49:01.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
2,2,2022-02-23T14:49:02.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
3,3,2022-02-23T14:49:03.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
4,4,2022-02-23T14:49:04.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
5,5,2022-02-23T14:49:05.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
6,6,2022-02-23T14:49:06.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
7,7,2022-02-23T14:49:07.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
8,8,2022-02-23T14:49:08.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
9,9,2022-02-23T14:49:09.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
10,10,2022-02-23T14:49:10.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
11,11,2022-02-23T14:49:11.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
12,12,2022-02-23T14:49:12.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
13,13,2022-02-23T14:49:13.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
14,14,2022-02-23T14:49:14.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
15,15,2022-02-23T14:49:15.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
16,16,2022-02-23T14:49:16.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
17,17,2022-02-23T14:49:17.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
18,18,2022-02-23T14:49:18.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
19,19,2022-02-23T14:49:19.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
20,20,2022-02-23T14:49:20.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
21,21,2022-02-23T14:49:21.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
22,22,2022-02-23T14:49:22.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
23,23,2022-02-23T14:49:23.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
24,24,2022-02-23T14:49:24.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
25,25,2022-02-23T14:49:25.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
26,26,2022-02-23T14:49:26.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
27,27,2022-02-23T14:49:27.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
28,28,2022-02-23T14:49:28.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
