Tick,Step,DateTime,Energy,EnergyLoss,Rule,SheepGainFromFood,SheepReproduce,Type,X,Y,ID
0,0,2022-02-23T14:49:00.0000000,10,2,,4,2,Sheep,7,6,300b511a-54a5-4fb4-9b28-f4a9da5fc207
0,0,2022-02-23T14:49:00.0000000,6,2,,4,2,Sheep,9,0,86bdd5f7-8cb6-47a6-b6b8-20951ad15a51
0,0,2022-02-23T14:49:00.0000000,4,2,,4,2,Sheep,6,4,d449da43-0e9b-4800-8883-ba25ea026617
0,0,2022-02-23T14:49:00.0000000,10,2,,4,2,Sheep,2,0,52a161e3-4189-410c-94b1-6dcba8e8d907
0,0,2022-02-23T14:49:00.0000000,6,2,,4,2,Sheep,9,7,592cd5a2-a31b-47f6-b445-ea00d98d1432
0,0,2022-02-23T14:49:00.0000000,4,2,,4,2,Sheep,8,9,a6d5bf73-8801-4175-9d77-075080c3b56c
0,0,2022-02-23T14:49:00.0000000,8,2,,4,2,Sheep,7,1,466ac6fe-3648-4c7e-95a5-aa1cca07e945
0,0,2022-02-23T14:49:00.0000000,8,2,,4,2,Sheep,2,1,b351b7f9-3db4-4ad2-b121-40610dcb36de
0,0,2022-02-23T14:49:00.0000000,6,2,,4,2,Sheep,9,7,78c0703e-4d9d-4832-8ea5-e8f4ca817e4d
0,0,2022-02-23T14:49:00.0000000,6,2,,4,2,Sheep,4,4,52bbd208-19c0-45b7-aa64-7625b2e76db1
1,1,2022-02-23T14:49:01.0000000,12,2,R1 - Eat grass,4,2,Sheep,6,6,300b511a-54a5-4fb4-9b28-f4a9da5fc207
1,1,2022-02-23T14:49:01.0000000,4,2,R2 - No food found,4,2,Sheep,9,0,86bdd5f7-8cb6-47a6-b6b8-20951ad15a51
1,1,2022-02-23T14:49:01.0000000,2,2,R2 - No food found,4,2,Sheep,5,4,d449da43-0e9b-4800-8883-ba25ea026617
1,1,2022-02-23T14:49:01.0000000,8,2,R2 - No food found,4,2,Sheep,3,0,52a161e3-4189-410c-94b1-6dcba8e8d907
1,1,2022-02-23T14:49:01.0000000,6,2,R1 - Eat grass,4,2,Sheep,9,6,592cd5a2-a31b-47f6-b445-ea00d98d1432
1,1,2022-02-23T14:49:01.0000000,6,2,R1 - Eat grass,4,2,Sheep,7,8,a6d5bf73-8801-4175-9d77-075080c3b56c
1,1,2022-02-23T14:49:01.0000000,6,2,R2 - No food found,4,2,Sheep,8,0,466ac6fe-3648-4c7e-95a5-aa1cca07e945
1,1,2022-02-23T14:49:01.0000000,6,2,R2 - No food found,4,2,Sheep,3,1,b351b7f9-3db4-4ad2-b121-40610dcb36de
1,1,2022-02-23T14:49:01.0000000,8,2,R1 - Eat grass,4,2,Sheep,9,6,78c0703e-4d9d-4832-8ea5-e8f4ca817e4d
1,1,2022-02-23T14:49:01.0000000,8,2,R1 - Eat grass,4,2,Sheep,5,5,52bbd208-19c0-45b7-aa64-7625b2e76db1
