Tick;Step;0_Position;1_Position;ID
0;0;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
1;1;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
2;2;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
3;3;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
4;4;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
5;5;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
6;6;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
7;7;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
8;8;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
9;9;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
10;10;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
11;11;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
12;12;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
13;13;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
14;14;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
15;15;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
16;16;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
17;17;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
18;18;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
19;19;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
20;20;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
21;21;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
22;22;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
23;23;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
24;24;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
25;25;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
26;26;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
27;27;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
28;28;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
29;29;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
30;30;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
31;31;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
32;32;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
33;33;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
34;34;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
35;35;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
36;36;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
37;37;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
38;38;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
39;39;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
40;40;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
41;41;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
42;42;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
43;43;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
44;44;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
45;45;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
46;46;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
47;47;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
48;48;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
49;49;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
50;50;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
51;51;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
52;52;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
53;53;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
54;54;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
55;55;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
56;56;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
57;57;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
58;58;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
59;59;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
60;60;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
61;61;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
62;62;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
63;63;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
64;64;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
65;65;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
66;66;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
67;67;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
68;68;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
69;69;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
70;70;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
71;71;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
72;72;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
73;73;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
74;74;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
75;75;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
76;76;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
77;77;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
78;78;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
79;79;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
80;80;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
81;81;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
82;82;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
83;83;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
84;84;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
85;85;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
86;86;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
87;87;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
88;88;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
89;89;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
90;90;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
91;91;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
92;92;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
93;93;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
94;94;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
95;95;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
96;96;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
97;97;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
98;98;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
99;99;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
100;100;0,0;0,0;1976a785-8a24-41c3-94e9-8ffdfb466512
