Tick;Step;Energy;Rule;Sheep_gain_from_food;Sheep_reproduce;0_Position;1_Position;ID
0;0;2;;4;4;57,0;84,0;6fd9de57-b52f-42f0-8beb-57d3ece1ee6a
0;0;4;;4;4;96,0;47,0;301a1a67-13e3-4f91-a296-b8315700eff5
0;0;1;;4;4;33,0;15,0;e74b9205-a9fb-4198-b301-57d72ebf56a9
0;0;5;;4;4;91,0;52,0;47283157-f1a5-44dd-bf86-ce36b79b4335
0;0;3;;4;4;41,0;34,0;fe79838e-f53c-48e5-9989-37bb8780670d
0;0;4;;4;4;33,0;60,0;91ab30fa-9553-41c8-831b-05107329596b
0;0;3;;4;4;3,0;70,0;77b63f41-a5c6-450c-9dba-a9e7d4ce8f10
0;0;4;;4;4;43,0;66,0;1d3155a7-07f4-4a52-ac72-df7f71a6f3eb
0;0;7;;4;4;90,0;60,0;e14b26b4-3a4b-4149-9aac-9e8069fb6fb7
0;0;4;;4;4;20,0;7,0;8c5f02c8-ad05-472d-9a02-576c591c62d2
0;0;1;;4;4;60,0;80,0;02bab252-5732-48d4-9c6b-0d7912c735d7
0;0;6;;4;4;26,0;55,0;834df528-ca7f-4385-b40f-a8c1103aaad2
0;0;2;;4;4;74,0;27,0;24c1b9bc-f929-4deb-bfec-374a9f22681f
0;0;5;;4;4;6,0;41,0;d7be5543-8612-4055-88c1-24d4e185a525
0;0;7;;4;4;4,0;87,0;12b5cd4f-0a92-47dd-a694-bf09c84537b9
0;0;3;;4;4;38,0;79,0;80688ac6-528c-4435-bfc7-8b77deb503fd
0;0;2;;4;4;16,0;31,0;403449f6-270c-4070-8f81-0737056397c2
0;0;4;;4;4;14,0;30,0;b9d7e2ae-e972-4ead-a519-1986b74d58bd
0;0;4;;4;4;47,0;97,0;3279d36f-77da-4dd5-be3f-ab7330e9f9f6
0;0;2;;4;4;12,0;82,0;53dd8d0e-c6a4-463c-af43-a45abf2dc4a6
0;0;5;;4;4;1,0;38,0;7abdd563-9dc6-4399-8ce0-85ce9fc74825
0;0;1;;4;4;37,0;92,0;0608a28d-dfa7-4e93-b81b-c10766937f77
0;0;3;;4;4;64,0;93,0;c901d9d6-859c-44b2-a26e-06a35ced2333
0;0;4;;4;4;54,0;52,0;880dcdbb-191b-45a3-a1f3-54ac3d03963a
0;0;1;;4;4;42,0;89,0;db5fa989-441d-40e6-8959-ed7a945d65c2
0;0;0;;4;4;95,0;20,0;c97fa1a4-aafc-42b6-86f6-675aa4fd0d22
0;0;1;;4;4;48,0;92,0;085d706b-e8be-4d6f-8abb-707685a1a0a8
0;0;1;;4;4;64,0;42,0;b16456dd-4fc8-49a8-bf0a-56c44cbd093a
0;0;0;;4;4;35,0;4,0;1855a58b-f167-4112-b5f4-83d2c38101a5
0;0;4;;4;4;23,0;3,0;1c8085b6-4646-4ed2-9a18-1cab5c75021b
0;0;7;;4;4;80,0;25,0;c1cf9e22-39ba-40ab-8d2b-86123a1d5b17
0;0;1;;4;4;45,0;26,0;1a9f5f75-bb15-47b8-b96c-2ceee25d1da0
0;0;1;;4;4;24,0;47,0;5c08a211-b128-48bc-9177-bf74640887b9
0;0;6;;4;4;15,0;84,0;4bed0f9b-4367-4a1a-a1c3-a9267f3ebd5d
0;0;2;;4;4;59,0;57,0;3b1988e5-d7b8-48ea-a60a-34897609f3b8
0;0;6;;4;4;64,0;15,0;5877307a-f1d0-4e24-8395-136d3812e3f1
0;0;5;;4;4;77,0;24,0;88313d31-135d-47a7-aff7-3c27ac164f8a
0;0;6;;4;4;41,0;9,0;c109bdf7-1128-469a-b0ff-afdc86389edd
0;0;3;;4;4;80,0;16,0;c00e0e84-59c7-488f-bc3e-cc6dd7afc3d7
0;0;5;;4;4;42,0;83,0;1a4384e1-4b37-4001-888b-9b01d5fed6d6
0;0;3;;4;4;63,0;62,0;d562af7c-ee4e-4607-9a38-1bfd3a075c0d
0;0;2;;4;4;0,0;2,0;3817e3da-652c-4cb2-a61e-5f97b5531578
0;0;6;;4;4;18,0;86,0;cfa1c454-8928-4a7f-b122-08ef0b48d678
0;0;0;;4;4;68,0;12,0;4488f6f1-bc13-4a64-a6cb-4271fa1a7ec4
0;0;7;;4;4;72,0;12,0;ffd87470-1c36-490a-89f8-7c3b9b464a0a
0;0;0;;4;4;97,0;42,0;fcc23860-5d64-4fd2-9807-1888efce3641
0;0;6;;4;4;91,0;77,0;ebe13927-a9c5-42bc-b523-ea66b73adf8a
0;0;4;;4;4;40,0;14,0;4f2c887b-de67-48bd-942c-1b7fd51a269e
0;0;5;;4;4;79,0;21,0;74a62780-727c-4c4e-ae97-dd8055a8a17b
0;0;0;;4;4;11,0;39,0;a900f6bc-b1aa-4e3b-bfbd-261bec7c6550
0;0;6;;4;4;60,0;39,0;905e57bc-f589-437d-b44a-e78842a3003c
0;0;4;;4;4;98,0;31,0;cbf2151f-f9e4-4831-af68-d8db7384d622
0;0;7;;4;4;63,0;33,0;387fa746-8b2d-49e1-b60a-37852c0a933a
0;0;1;;4;4;2,0;21,0;866662c3-ddb1-48cf-b541-edcb9cec9cd8
0;0;4;;4;4;6,0;12,0;76cc81ee-2708-42c2-b4f3-78841d5f0100
0;0;7;;4;4;28,0;71,0;7d9ff267-6ee5-46e2-8094-b485299c4359
